,full_text,created_at,favorite_count,quote_count,retweet_count,reply_count
0,This week in Nature: Lonely plants – isolation in arid environments drives high levels of trait diversity. Browse the full issue: https://t.co/MqsHyu2X5G https://t.co/cSKfT1RUgQ,2024-08-22T16:50:42.000Z,95,1,16,5
1,"Dr. Katie Bouman, who led the creation of an algorithm that helped capture the first ever image of a black hole, tells us what this breakthrough means for science 👩‍🔬 #EHTBlackHole #BlackHole https://t.co/ckwqoibFKl",2019-04-11T15:59:16.000Z,32470,2429,11540,450
2,"Dr. Katie Bouman, who led the creation of an algorithm that helped capture the first ever image of a black hole, tells us what this breakthrough means for science 👩‍🔬 #EHTBlackHole #BlackHole https://t.co/GytahzG8bh",2019-04-13T14:00:36.000Z,8462,412,2488,145
3,Japanese research no longer world class — here's why https://t.co/ZufadfHJwF,2023-10-25T09:43:16.000Z,6973,1038,3642,70
4,"Cutting health and science support should not be an option in Argentina’s election.

As the nation chooses its next president, citizens must consider the wider benefits of research investment — long-term prosperity, well-being and growth https://t.co/IKWEHUwFfZ",2023-11-07T19:52:50.000Z,6918,486,2626,376
5,"It’s #CRISPR. Emmanuelle Charpentier and Jennifer Doudna ,who pioneered the revolutionary gene-editing technology, are the winners of this year’s #NobelPrize in Chemistry.  #NobelPrize2020
https://t.co/I9uqEE41or",2020-10-07T10:25:27.000Z,5511,356,1726,53
6,The new president has the opportunity to reverse four years of anti-science policies — but he has a hard road ahead as he inherits a nation divided. https://t.co/CPVvWCpGWR,2020-11-07T17:00:34.000Z,5428,211,984,142
7,"In 2020, Nature endorsed Joe Biden in the US presidential election. A survey finds that viewing the endorsement did not change people’s views of the candidates, but caused some to lose confidence in Nature and in US scientists generally https://t.co/lvrgXmsrl5",2023-03-20T22:20:28.000Z,5086,784,928,1250
8,"Thanks to a complex mathematical algorithm, these plastic shapes follow a very specific route as they roll. 

In fact, researchers have shown that a shape can be designed to follow almost any path you can think of. https://t.co/ia6G8bAS4f",2023-08-10T14:54:39.000Z,4528,163,1096,40
9,A lab-made bat coronavirus related to SARS has been shown to infect human cells. https://t.co/xnsF4NkmTE https://t.co/8HQ0LZLq8Z,2015-11-16T07:40:31.000Z,3372,1786,2253,309
10,"Astronomer Scott Sheppard has discovered 20 new moons orbiting Saturn, bringing its total to 82 and moving it ahead of Jupiter, which has 79. Help name 'em at @SaturnLunacy https://t.co/J5sAF24Wtx https://t.co/Ra4jxtT8hn",2019-10-08T16:40:27.000Z,3691,579,1430,472
11,"As Brazil’s environment minister, Marina Silva helped to rein in rampant deforestation and rebuild institutions that were weakened by the previous government https://t.co/6CKcBQCHts",2023-12-27T00:01:37.000Z,3844,78,687,376
12,"The #NobelPrize in Physiology or Medicine has been awarded to Katalin Karikó and Drew Weissman for their ""discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19""

More to follow https://t.co/jVfybijldq",2023-10-02T09:48:16.000Z,3518,141,780,91
